Acad of Enter	ET 88C,FRIA C T 	ET 88C	FRIA C T 					1
Business	BUS 65,ROCKWELL C	BUS 65	ROCKWELL C	12	11	8	1	41
Business	BUS 82,SATTERLEE B C	BUS 82	SATTERLEE B C	9	6			21
Business	BUS 83,SATTERLEE B C	BUS 83	SATTERLEE B C	9	5	7		28
Business	COUNS 47,HALLIDAY P D	COUNS 47	HALLIDAY P D	3	3	1		10
Business	COUNS 47,HALLIDAY P D	COUNS 47	HALLIDAY P D	4	2	3		14
Business	COUNS 47,HALLIDAY P D	COUNS 47	HALLIDAY P D	3	2	1		9
Business	COUNS 47,HALLIDAY P D 	COUNS 47	HALLIDAY P D 	1		4	4	9
Communicatio	BUS 29,ADELMAN A	BUS 29	ADELMAN A	4	15	1		22
Communicatio	BUS 33,ADELMAN A	BUS 33	ADELMAN A	1	6	3		13
Communicatio	COM ST 11,CHEKROUN J	COM ST 11	CHEKROUN J	9	7	7		33
Communicatio	COM ST 11,OGATA D K	COM ST 11	OGATA D K	47	11	3		64
Communicatio	COM ST 11,MARTIN B S	COM ST 11	MARTIN B S	16	8	2		33
Communicatio	COM ST 11,KAHN R A	COM ST 11	KAHN R A	9	2	3	1	29
Communicatio	COM ST 11,WHIDDEN A R	COM ST 11	WHIDDEN A R	23	9			36
Communicatio	COM ST 11,BROCCARD D	COM ST 11	BROCCARD D	7	11	9		33
Communicatio	COM ST 11,EVANS J D	COM ST 11	EVANS J D	38	6			52
Communicatio	COM ST 11,JUNIUS J A	COM ST 11	JUNIUS J A	7	14	8		36
Communicatio	COM ST 11,HOWARD D B	COM ST 11	HOWARD D B	12	14	10		39
Communicatio	COM ST 11,OGATA D K	COM ST 11	OGATA D K	47				49
Communicatio	COM ST 11,MARTIN B S	COM ST 11	MARTIN B S	15	13	1		32
Communicatio	COM ST 11,SADEGHI‐TABRIZI F	COM ST 11	SADEGHI‐TABRIZI F	6	18	6		38
Communicatio	COM ST 11,KAHN R A	COM ST 11	KAHN R A	16	2	3		32
Communicatio	COM ST 11,WHIDDEN A R	COM ST 11	WHIDDEN A R	15	8	1		28
Communicatio	COM ST 11,CHEKROUN J	COM ST 11	CHEKROUN J	11	12	1		35
Communicatio	COM ST 11,BROCCARD D	COM ST 11	BROCCARD D	10	19	1		36
Communicatio	COM ST 11,JUNIUS J A	COM ST 11	JUNIUS J A	9	14	6		32
Communicatio	COM ST 11,MCNAMARA C V	COM ST 11	MCNAMARA C V	5	14	3		36
Communicatio	COM ST 11,BROWN N A	COM ST 11	BROWN N A	13	10	1		29
Communicatio	COM ST 11,JUNIUS J A	COM ST 11	JUNIUS J A	8	19	2		34
Communicatio	COM ST 11,OGATA D K	COM ST 11	OGATA D K	41	10	2		61
Communicatio	COM ST 11,CORDES A L	COM ST 11	CORDES A L	6	12	7		32
Communicatio	COM ST 11,MCNAMARA C V	COM ST 11	MCNAMARA C V	11	8	3		32
Communicatio	COM ST 11,PRESTON B L	COM ST 11	PRESTON B L	28	5			35
Communicatio	COM ST 11,PRESTON B L	COM ST 11	PRESTON B L	27	7			37
Communicatio	COM ST 11,FARSCHMAN K V	COM ST 11	FARSCHMAN K V	11	18	1		32
Communicatio	COM ST 11,BERMUDEZ JR N A	COM ST 11	BERMUDEZ JR N A	20	6		2	38
Communicatio	COM ST 11,SHAFFER J M	COM ST 11	SHAFFER J M	5	5	4		26
Communicatio	COM ST 11,HOWARD D B	COM ST 11	HOWARD D B	13	18	5		39
Communicatio	COM ST 11,HOWARD B	COM ST 11	HOWARD B	11	19	5		40
Communicatio	COM ST 11,SMITH F N	COM ST 11	SMITH F N	10	10	6		28
Communicatio	COM ST 11,FARSCHMAN K V	COM ST 11	FARSCHMAN K V	14	5	2		28
Communicatio	COM ST 11,HOWARD D B	COM ST 11	HOWARD D B	21	10	2		38
Communicatio	COM ST 11,PRESTON B L	COM ST 11	PRESTON B L	20	9			31
